Molecule ChEMBL ID,Canonical_smiles,Papp_(ucm/s),MW,TPSA,LogP,NumHDonors,NumHAcceptors,NumRotatableBonds,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,NumRadicalElectrons,NumValenceElectrons,FilterItLogS
CHEMBL2315412,O=C(NCCC1CC1)c1ccc(N2CCN(C(=O)c3ccc(F)cc3C(F)(F)F)CC2)nn1,22.0,465.45100000000014,78.43,3.126800000000002,1.0,5.0,6.0,1.0303030303030305,1.7575757575757576,2.363636363636364,0.0,176.0,-5.57784056
CHEMBL2022624,CCN(CC)C(=O)COC(=O)c1ccc2nc(C(F)(F)F)n(C)c2c1,13.04,357.33200000000005,64.43,2.6173,0.0,5.0,5.0,1.24,1.88,2.44,0.0,136.0,-3.824115632
CHEMBL2170819,O=C(O)Cn1cc(-c2cnc3nnn(Cc4ccc5ncccc5c4)c3n2)cn1,0.003,386.37500000000006,124.5,1.7658999999999998,1.0,9.0,5.0,1.137931034482759,2.0689655172413794,2.9655172413793105,0.0,142.0,-4.073124593
CHEMBL376472,CCCS(=O)(=O)N1CCC(CNC(=O)c2ccc(Cl)cc2Cl)(C(=O)N2CCOCC2)CC1,23.6,506.45200000000034,96.02,2.404000000000001,1.0,5.0,7.0,1.125,1.78125,2.375,0.0,178.0,-5.364590406
CHEMBL1914567,CCCNP(=O)(CCl)OC[C@H]1O[C@@H](n2cc(C)c(=O)[nH]c2=O)C[C@@H]1N=[N+]=[N-],3.22,420.79400000000015,151.18,2.21702,2.0,7.0,9.0,1.5925925925925926,2.333333333333333,2.962962962962963,0.0,150.0,-3.512900344
CHEMBL214033,O=C(O)[C@@H]1CCCN1CCOc1ccc(-c2ccccc2)cc1Sc1cccc(F)c1,25.1,437.5360000000001,49.77,5.571700000000004,1.0,4.0,8.0,1.064516129032258,1.903225806451613,2.677419354838709,0.0,160.0,-6.030921184
CHEMBL1235213,CCOc1ccc(Nc2c(C)c(N[C@H]3CCCNC3)nc3ccnn23)cc1,28.3,366.4690000000001,75.50999999999999,3.3439200000000016,3.0,7.0,6.0,1.2592592592592593,2.111111111111111,2.851851851851852,0.0,142.0,-5.503437078
CHEMBL3601001,Cc1ccc(-c2noc(COc3ccc(CCC(=O)O)cc3)n2)cc1,27.3,338.363,85.45,3.6412200000000015,1.0,5.0,7.0,1.12,1.84,2.52,0.0,128.0,-5.37352084
CHEMBL3290353,O=C1COc2ccc(CN[C@@H]3CCN(CCn4c(=O)ccc5ncc(F)cc54)C[C@@H]3F)nc2N1,11.2,470.4800000000001,101.38,1.4636999999999991,2.0,8.0,6.0,1.2058823529411764,2.088235294117647,2.9411764705882355,0.0,178.0,-5.820763227
CHEMBL2440460,CS(=O)(=O)O.O=C(O)c1ccccc1-c1ccc(CN2CCC(COC(=O)c3c4n(c5ccccc35)CCCO4)CC2)cc1,0.8,620.7240000000002,135.37,5.362000000000006,2.0,8.0,7.0,0.9545454545454546,1.6136363636363635,2.3181818181818183,0.0,232.0,-6.027067212
CHEMBL1083190,Cc1cnc(NCCc2ccc(C(F)(F)F)cc2)c(=O)n1CC(=O)NCCONC(=N)N,0.74,455.44100000000026,147.15,0.7559900000000004,5.0,7.0,10.0,1.25,1.9375,2.5625,0.0,174.0,-5.241004895
CHEMBL3098563,COC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](OC)C[C@H]3OC[C@@]3(OC(C)=O)[C@H]2[C@H](OC(=O)c2ccccc2)[C@]23OC(=O)O[C@H]2[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c2ccccc2)C(C)=C1C3(C)C,1.43,921.946,244.04999999999995,4.857400000000005,2.0,18.0,10.0,0.9090909090909092,1.5454545454545454,2.106060606060606,0.0,356.0,-6.036497919
